id,birthDate,birthPlace,career_AST,career_FG%,career_FG3%,career_FT%,career_G,career_PER,career_PTS,career_TRB,career_WS,career_eFG%,college,draft_pick,draft_round,draft_team,draft_year,height,highSchool,name,position,shoots,weight,avg_salary
alexavi01,"August 31, 1969","Detroit, Michigan",0.9,51.8,28.6,63.4,286.0,13.7,8.9,4.8,8.8,52.2,Iowa State University,17th overall,1st round,Golden State Warriors,1991.0,6-9,"Denby in Detroit, Michigan",Victor Alexander,Center,Right,265lb,1079641.67
alforst01,"November 23, 1964","Franklin, Indiana",1.0,45.9,32.4,87.0,169.0,14.4,4.4,0.9,3.2,48.7,Indiana University,26th overall,2nd round,Dallas Mavericks,1987.0,6-2,"Chrysler in New Castle, Indiana",Steve Alford,Point Guard,Right,183lb,166666.67
allenla01,"February 4, 1989","Morrisville, Pennsylvania",1.0,47.1,13.3,68.2,388.0,12.5,4.8,4.8,13.8,47.2,Temple University,50th overall,2nd round,Philadelphia 76ers,2011.0,6-9,"Pennsbury in Fairless Hills, Pennsylvania",Lavoy Allen,Power Forward and Center,Right,260lb,2530294.5
allenra02,"July 20, 1975","Merced, California",3.4,45.2,40.0,89.4,1300.0,18.6,18.9,4.1,145.1,53.0,University of Connecticut,5th overall,1st round,Minnesota Timberwolves,1996.0,6-5,"Hillcrest in Dalzell, South Carolina",Ray Allen,Shooting Guard,Right,205lb,10242022.78
allento01,"January 11, 1982","Chicago, Illinois",1.3,47.5,28.2,70.9,820.0,14.2,8.1,3.5,38.7,48.7,"Butler County Community College, Oklahoma State University",25th overall,1st round,Boston Celtics,2004.0,6-4,"Crane Technical Preparatory in Chicago, Illinois",Tony Allen,Shooting Guard and Small Forward and Point Guard,Right,213lb,2907029.93
alstora01,"July 24, 1976","New York, New York",4.8,38.3,35.4,72.9,671.0,13.2,10.1,2.8,32.9,46.1,"California State University, Fresno",39th overall,2nd round,Milwaukee Bucks,1998.0,6-2,"Benjamin Cardozo in Bayside, New York",Rafer Alston,Point Guard,Right,171lb,2344127.58
aminual01,"September 21, 1990","Atlanta, Georgia",1.2,42.3,33.7,74.7,670.0,12.4,7.7,6.1,27.4,48.2,Wake Forest University,8th overall,1st round,Los Angeles Clippers,2010.0,6-9,"Norcross in Norcross, Georgia",Al-Farouq Aminu,Power Forward and Small Forward,Right,220lb,4430970.5
anderde01,"July 18, 1974","Louisville, Kentucky",3.4,40.8,34.1,85.3,615.0,15.3,12.0,3.2,43.9,46.3,"Ohio State University, University of Kentucky",13th overall,1st round,Cleveland Cavaliers,1997.0,6-5,"Doss in Louisville, Kentucky",Derek Anderson,Shooting Guard and Small Forward and Point Guard,Right,194lb,4212366.21
andergr01,"June 22, 1964","Houston, Texas",0.6,49.2,8.7,55.7,680.0,13.0,7.3,6.2,18.7,49.2,University of Houston,23rd overall,1st round,San Antonio Spurs,1987.0,6-10,"Evan E. Worthing in Houston, Texas",Greg Anderson,Center and Power Forward,Right,230lb,571625.0
anderja01,"March 25, 1989","El Dorado, Arkansas",1.2,41.1,32.1,75.5,247.0,9.9,5.8,2.3,3.3,48.8,Oklahoma State University,20th overall,1st round,San Antonio Spurs,2010.0,6-6,"Junction City in Junction City, Arkansas",James Anderson,Small Forward and Shooting Guard,Right,213lb,895769.33
anderju01,"November 19, 1993","Montross, Virginia",0.7,41.9,30.2,77.8,216.0,12.9,5.3,2.6,4.7,49.0,University of Virginia,21st overall,1st round,Dallas Mavericks,2015.0,6-6,"Montrose Christian in Rockville, Maryland",Justin Anderson,Small Forward,Left,230lb,1514200.0
anderke01,"October 9, 1970","Queens, New York",6.1,42.1,34.6,79.0,858.0,16.4,12.6,3.1,62.5,44.9,Georgia Institute of Technology,2nd overall,1st round,New Jersey Nets,1991.0,6-0,"Archbishop Molloy in Jamaica, New York",Kenny Anderson,Point Guard,Left,168lb,4530371.43
anderky01,"September 20, 1993","Fairview, New Jersey",1.9,49.2,32.4,70.6,300.0,13.5,5.3,3.9,15.4,51.4,"University of California, Los Angeles",30th overall,1st round,San Antonio Spurs,2014.0,6-9,"St. Anthony's in Jersey City, New Jersey",Kyle Anderson,Small Forward,Right,230lb,1395085.75
anderni01,"January 20, 1968","Chicago, Illinois",2.6,44.6,35.6,66.7,800.0,15.8,14.4,5.1,55.3,50.0,University of Illinois at Urbana-Champaign,11th overall,1st round,Orlando Magic,1989.0,6-6,"Simeon Vocational School in Chicago, Illinois",Nick Anderson,Shooting Guard and Small Forward,Right,205lb,3271593.69
anderry01,"May 6, 1988","Sacramento, California",0.9,42.2,38.0,85.4,647.0,16.5,12.4,5.3,46.7,52.3,University of California,21st overall,1st round,New Jersey Nets,2008.0,6-10,"Oak Ridge in El Dorado Hills, California",Ryan Anderson,Power Forward,Right,240lb,7850978.0
andersh01,"December 31, 1973","Atlanta, Georgia",1.4,45.7,31.6,73.9,719.0,11.7,7.4,3.1,23.6,49.2,University of Georgia,54th overall,2nd round,Utah Jazz,1996.0,6-6,"Crim in Atlanta, Georgia",Shandon Anderson,Small Forward and Shooting Guard,Right,208lb,3813340.38
anderwi01,"January 8, 1967","Greenville, South Carolina",3.8,47.1,26.6,78.6,555.0,13.8,12.2,3.8,27.9,47.9,University of Georgia,10th overall,1st round,San Antonio Spurs,1988.0,6-7,"East Atlanta in Atlanta, Georgia",Willie Anderson,Shooting Guard and Small Forward,Right,190lb,1351250.0
anthoca01,"May 29, 1984","Brooklyn, New York",3.0,44.9,34.7,81.1,1064.0,20.3,24.0,6.5,101.0,48.2,Syracuse University,3rd overall,1st round,Denver Nuggets,2003.0,6-8,"Oak Hill Academy in Mouth of Wilson, Virginia",Carmelo Anthony,Small Forward and Power Forward,Right,240lb,15466761.0
anthogr01,"November 15, 1967","Las Vegas, Nevada",4.0,40.3,34.9,73.3,757.0,14.5,7.3,1.9,35.9,46.7,"University of Portland, University of Nevada, Las Vegas",12th overall,1st round,New York Knicks,1991.0,6-0,"Rancho in North Las Vegas, Nevada",Greg Anthony,Point Guard,Left,176lb,1549354.17
arenagi01,"January 6, 1982","Tampa, Florida",5.3,42.1,35.1,80.3,552.0,19.6,20.7,3.9,51.3,48.2,University of Arizona,31st overall,2nd round,Golden State Warriors,2001.0,6-3,"Grant in Van Nuys, California",Gilbert Arenas,Point Guard,Right,191lb,11726226.75
arizatr01,"June 30, 1985","Miami, Florida",2.2,42.2,35.1,72.8,1011.0,13.3,10.7,4.8,60.0,50.2,"University of California, Los Angeles",43rd overall,2nd round,New York Knicks,2004.0,6-8,"Westchester in Los Angeles, California",Trevor Ariza,Small Forward and Shooting Guard,Right,215lb,5451466.43
armstbj01,"September 9, 1967","Detroit, Michigan",3.3,47.7,42.5,85.6,747.0,14.5,9.8,1.8,45.0,51.3,University of Iowa,18th overall,1st round,Chicago Bulls,1989.0,6-2,"Brother Rice in Birmingham, Michigan",B.J. Armstrong,Point Guard,Right,175lb,1489090.91
armsthi01,"November 11, 1984","Peekskill, New York",0.3,50.1,28.6,58.2,292.0,9.9,3.0,2.6,3.9,50.2,University of Connecticut,12th overall,1st round,New Orleans/Oklahoma City Hornets,2006.0,6-11,"Peekskill in Peekskill, New York",Hilton Armstrong,Center and Power Forward,Right,235lb,1898895.6
arthuda01,"March 25, 1988","Dallas, Texas",0.8,44.4,35.2,76.5,503.0,12.2,6.5,3.5,12.3,47.0,University of Kansas,27th overall,1st round,New Orleans Hornets,2008.0,6-9,"South Oak Cliff in Dallas, Texas",Darrell Arthur,Small Forward and Power Forward,Right,235lb,3322257.5
askewvi01,"February 28, 1966","Memphis, Tennessee",2.2,47.9,30.0,75.4,467.0,12.6,7.1,2.5,22.1,49.4,University of Memphis,39th overall,2nd round,Philadelphia 76ers,1987.0,6-6,"Frayser in Memphis, Tennessee",Vincent Askew,Shooting Guard,Right,210lb,976208.33
augmost01,"August 1, 1968","Pasadena, California",1.6,46.9,15.2,72.8,1001.0,13.7,8.0,3.2,43.8,47.0,"University of Nevada, Las Vegas",9th overall,1st round,Atlanta Hawks,1991.0,6-8,"John Muir in Pasadena, California",Stacey Augmon,Small Forward and Shooting Guard,Left,205lb,1877343.75
augusdj01,"November 10, 1987","New Orleans, Louisiana",4.0,41.3,38.1,86.3,807.0,14.2,9.8,1.9,41.9,49.7,University of Texas at Austin,9th overall,1st round,Charlotte Bobcats,2008.0,6-0,"Hightower in Missouri City, Texas",D.J. Augustin,Point Guard,Right,183lb,3563831.0
austiis01,"August 18, 1969","Gridley, California",1.2,44.6,17.6,67.0,432.0,13.0,7.6,4.7,9.2,44.8,Arizona State University,48th overall,2nd round,Utah Jazz,1991.0,6-10,"Las Plumas in Oroville, California",Isaac Austin,Center,Right,255lb,2514074.0
aventan01,"October 18, 1969","Rocky Mount, North Carolina",0.8,40.3,0.0,68.6,352.0,8.8,5.6,4.5,0.3,40.3,Seton Hall University,15th overall,1st round,Atlanta Hawks,1991.0,6-9,"Malcolm X Shabazz in Newark, New Jersey",Anthony Avent,Power Forward,Right,235lb,682000.0
pendeje02,"April 29, 1987","Ontario, California",0.4,55.3,40.0,77.6,237.0,12.4,2.9,2.7,6.3,55.5,Arizona State University,31st overall,2nd round,Sacramento Kings,2009.0,6-9,"Etiwanda in Rancho Cucamonga, California",Jeff Ayres,Center and Power Forward,Right,240lb,1225595.0
babbilu01,"June 20, 1989","Cincinnati, Ohio",0.6,40.8,40.2,74.7,381.0,10.1,4.8,2.2,7.2,53.2,"University of Nevada, Reno",16th overall,1st round,Minnesota Timberwolves,2010.0,6-9,"Galena in Reno, Nevada",Luke Babbitt,Small Forward and Power Forward,Left,225lb,1512680.43
bakervi01,"November 23, 1971","Lake Wales, Florida",1.9,48.5,21.5,63.8,791.0,16.3,15.0,7.4,47.0,48.7,University of Hartford,8th overall,1st round,Milwaukee Bucks,1993.0,6-11,"Old Saybrook in Old Saybrook, Connecticut",Vin Baker,Power Forward and Center,Right,232lb,5728876.12
balkmre01,"July 14, 1984","Staten Island, New York",0.6,51.0,17.2,54.2,221.0,14.3,4.0,3.5,7.2,51.8,University of South Carolina,20th overall,1st round,New York Knicks,2006.0,6-8,"Laurinburg Institute in Laurinburg, North Carolina",Renaldo Balkman,Small Forward and Power Forward,Right,208lb,1568459.57
banksma01,"November 19, 1981","Las Vegas, Nevada",2.1,43.2,32.7,76.8,348.0,12.2,5.9,1.5,6.6,46.9,"University of Nevada, Las Vegas",13th overall,1st round,Memphis Grizzlies,2003.0,6-2,"Cimarron Memorial in Las Vegas, Nevada",Marcus Banks,Point Guard,Right,200lb,3266940.0
barneha02,"May 30, 1992","Ames, Iowa",1.5,44.6,37.4,79.5,540.0,13.3,13.6,4.9,29.7,50.0,University of North Carolina,7th overall,1st round,Golden State Warriors,2012.0,6-8,"Ames in Ames, Iowa",Harrison Barnes,Power Forward and Small Forward,Right,225lb,9645672.0
barnema02,"March 9, 1980","Santa Clara, California",1.8,43.6,33.5,74.5,929.0,12.7,8.2,4.6,42.8,51.3,"University of California, Los Angeles",46th overall,2nd round,Memphis Grizzlies,2002.0,6-7,"Del Campo in Sacramento, California",Matt Barnes,Small Forward and Power Forward,Right,226lb,1963000.94
barroda01,"April 13, 1967","Boston, Massachusetts",3.3,46.0,41.1,85.8,850.0,16.4,10.5,1.9,49.6,53.6,Boston College,16th overall,1st round,Seattle SuperSonics,1989.0,5-11,"Xaverian in Westwood, Massachusetts",Dana Barros,Point Guard and Shooting Guard,Right,163lb,2132291.67
barrybr01,"December 31, 1971","Hempstead, New York",3.2,46.0,40.5,82.3,912.0,15.7,9.3,3.0,70.5,57.0,Oregon State University,15th overall,1st round,Denver Nuggets,1995.0,6-6,"De La Salle Catholic in Concord, California",Brent Barry,Small Forward and Shooting Guard,Right,185lb,3564324.0
barryjo01,"July 25, 1969","Oakland, California",2.2,43.4,39.2,84.8,821.0,14.7,5.7,1.8,37.2,52.4,"University of the Pacific, Georgia Institute of Technology",21st overall,1st round,Boston Celtics,1992.0,6-4,"De La Salle Catholic in Concord, California",Jon Barry,Shooting Guard,Right,195lb,1416071.43
bartowi01,"January 6, 1991","Baltimore, Maryland",2.4,43.1,34.1,78.8,438.0,14.4,10.5,3.9,16.4,48.9,University of Memphis,40th overall,2nd round,Portland Trail Blazers,2012.0,6-6,"Brewster Academy in Wolfeboro, New Hampshire",Will Barton,Shooting Guard,Right,190lb,2109019.0
bassbr01,"April 30, 1985","Baton Rouge, Louisiana",0.8,49.9,20.7,83.2,758.0,15.3,8.7,4.5,42.8,50.0,Louisiana State University,33rd overall,2nd round,New Orleans Hornets,2005.0,6-8,"Capitol in Baton Rouge, Louisiana",Brandon Bass,Power Forward and Center,Right,250lb,3234292.42
battito01,"February 11, 1976","Dallas, Texas",0.6,48.8,16.2,69.0,837.0,12.6,6.1,5.1,36.4,49.0,Texas Tech University,5th overall,1st round,Denver Nuggets,1997.0,6-11,"South Oak Cliff in Dallas, Texas",Tony Battie,Center and Power Forward,Right,230lb,3840277.47
battish01,"September 9, 1978","Birmingham, Michigan",1.8,43.7,38.4,74.3,977.0,12.6,8.6,4.2,75.7,52.9,Duke University,6th overall,1st round,Memphis Grizzlies,2001.0,6-8,"Detroit Country Day School in Beverly Hills, Michigan",Shane Battier,Small Forward and Shooting Guard,Right,220lb,4351509.38
battljo01,"November 9, 1962","Washington, District of Columbia",2.1,46.4,27.3,79.3,612.0,13.7,8.7,1.3,17.9,47.1,Rutgers University,84th overall,4th round,Atlanta Hawks,1985.0,6-2,"McKinley in Washington, District of Columbia",John Battle,Shooting Guard,Right,175lb,646250.0
bayleje01,"August 20, 1988","Phoenix, Arizona",2.9,41.1,36.1,81.8,586.0,12.2,8.4,2.1,18.6,47.1,University of Arizona,11th overall,1st round,Indiana Pacers,2008.0,6-3,"Saint Mary's in Phoenix, Arizona",Jerryd Bayless,Point Guard and Shooting Guard,Right,200lb,4003060.4
bealbr01,"June 28, 1993","St. Louis, Missouri",3.7,45.2,38.4,79.8,488.0,17.1,19.8,3.9,36.4,51.9,University of Florida,3rd overall,1st round,Washington Wizards,2012.0,6-5,"Chaminade College Preparatory School in St. Louis, Missouri",Bradley Beal,Shooting Guard,Right,207lb,10757461.67
beaslma01,"November 26, 1996","Atlanta, Georgia",0.8,46.1,38.8,78.9,165.0,13.0,7.2,1.7,5.0,56.2,Florida State University,19th overall,1st round,Denver Nuggets,2016.0,6-5,"Saint Francis in Alpharetta, Georgia",Malik Beasley,Shooting Guard,Right,195lb,1663980.0
beaslmi01,"January 9, 1989","Cheverly, Maryland",1.3,46.5,34.9,75.9,609.0,15.6,12.4,4.7,15.6,48.7,Kansas State University,2nd overall,1st round,Miami Heat,2008.0,6-9,"Notre Dame Preparatory School in Fitchburg, Massachusetts",Michael Beasley,Power Forward and Small Forward,Left,235lb,2822272.23
bedfowi01,"December 14, 1963","Memphis, Tennessee",0.5,41.6,31.8,60.5,238.0,9.7,4.1,2.4,0.9,41.9,University of Memphis,6th overall,1st round,Phoenix Suns,1986.0,7-0,"Melrose in Memphis, Tennessee",William Bedford,Center,Right,225lb,800000.0
benjabe01,"November 22, 1964","Monroe, Louisiana",1.3,49.7,4.8,72.1,807.0,14.8,11.4,7.5,32.7,49.7,Creighton University,3rd overall,1st round,Los Angeles Clippers,1985.0,7-0,"Carroll in Monroe, Louisiana",Benoit Benjamin,Center,Right,250lb,2091375.36
berrywa01,"May 14, 1964","New York, New York",1.4,53.9,20.0,63.8,205.0,16.6,14.1,4.7,8.2,54.0,St. John's University,14th overall,1st round,Portland Trail Blazers,1986.0,6-8,"Benjamin Franklin in New York, New York",Walter Berry,Power Forward and Small Forward,Left,215lb,300000.0
besttr01,"July 12, 1972","Springfield, Massachusetts",3.5,43.1,34.5,83.5,708.0,13.8,7.6,1.8,30.9,46.0,Georgia Institute of Technology,23rd overall,1st round,Indiana Pacers,1995.0,5-11,"Springfield Central in Springfield, Massachusetts",Travis Best,Point Guard,Left,182lb,1821167.9
beverpa01,"July 12, 1988","Chicago, Illinois",3.5,41.2,38.0,77.0,380.0,12.5,9.0,4.3,24.8,51.7,University of Arkansas,42nd overall,2nd round,Los Angeles Lakers,2009.0,6-1,"Marshall in Chicago, Illinois",Patrick Beverley,Point Guard and Shooting Guard,Right,185lb,3333167.67
bibbymi01,"May 13, 1978","Cherry Hill, New Jersey",5.5,43.6,37.9,80.2,1001.0,16.1,14.7,3.1,73.2,49.7,University of Arizona,2nd overall,1st round,Vancouver Grizzlies,1998.0,6-1,"Shadow Mountain in Phoenix, Arizona",Mike Bibby,Point Guard,Right,190lb,7649544.36
billuch01,"September 25, 1976","Denver, Colorado",5.4,41.5,38.7,89.4,1043.0,18.8,15.2,2.9,120.8,49.5,University of Colorado,3rd overall,1st round,Boston Celtics,1997.0,6-3,"George Washington in Denver, Colorado",Chauncey Billups,Point Guard and Shooting Guard,Right,202lb,5957095.56
blabuw01,"March 26, 1962","Munich, Germany",0.4,43.3,-,60.8,235.0,6.6,2.1,1.8,0.4,43.3,Indiana University,17th overall,1st round,Dallas Mavericks,1985.0,7-1,"Effingham in Effingham, Illinois",Uwe Blab,Center,Right,252lb,246666.67
blairde01,"April 22, 1989","Pittsburgh, Pennsylvania",0.8,52.4,0.0,60.8,424.0,16.5,6.8,5.1,19.0,52.4,University of Pittsburgh,37th overall,2nd round,San Antonio Spurs,2009.0,6-7,"Schenley in Pittsburgh, Pennsylvania",DeJuan Blair,Center and Power Forward,Right,270lb,1250843.86
blakest01,"February 26, 1980","Hollywood, Florida",4.0,40.1,38.3,77.9,870.0,11.1,6.5,2.1,29.1,50.1,University of Maryland,38th overall,2nd round,Washington Wizards,2003.0,6-3,"Oak Hill Academy in Mouth of Wilson, Virginia",Steve Blake,Point Guard,Right,172lb,2845726.31
blaylmo01,"March 20, 1967","Garland, Texas",6.7,40.9,33.6,73.6,889.0,16.8,13.5,4.1,71.8,46.5,"Midland College, University of Oklahoma",12th overall,1st round,New Jersey Nets,1989.0,6-0,"Garland in Garland, Texas",Mookie Blaylock,Point Guard,Right,180lb,2649166.67
bledser01,"December 9, 1989","Birmingham, Alabama",4.8,45.5,33.6,79.4,570.0,18.1,14.1,3.9,37.0,50.3,University of Kentucky,18th overall,1st round,Oklahoma City Thunder,2010.0,6-1,"A.H. Parker in Birmingham, Alabama",Eric Bledsoe,Point Guard,Right,205lb,7647052.88
blounco01,"January 4, 1969","Monrovia, California",0.7,47.1,11.5,58.7,644.0,11.1,3.6,4.2,18.2,47.1,University of Cincinnati,25th overall,1st round,Chicago Bulls,1993.0,6-9,"Monrovia in Monrovia, California",Corie Blount,Power Forward and Center,Right,240lb,1203477.92
blounma01,"November 30, 1975","Dobbs Ferry, New York",0.8,50.4,35.9,72.3,605.0,12.5,8.2,4.6,18.8,50.8,University of Pittsburgh,54th overall,2nd round,Seattle SuperSonics,1997.0,7-0,"Oak Hill Academy in Mouth of Wilson, Virginia",Mark Blount,Center,Right,230lb,4464967.2
boganke01,"May 12, 1980","Alexandria, Virginia",1.3,39.4,35.3,71.6,671.0,9.6,6.3,2.7,20.4,48.9,University of Kentucky,43rd overall,2nd round,Milwaukee Bucks,2003.0,6-5,"DeMatha Catholic in Hyattsville, Maryland",Keith Bogans,Small Forward and Shooting Guard,Right,215lb,1740034.64
boguemu01,"January 9, 1965","Baltimore, Maryland",7.6,45.8,27.8,82.7,889.0,15.0,7.7,2.6,54.0,46.7,Wake Forest University,12th overall,1st round,Washington Bullets,1987.0,5-3,"Paul Laurence Dunbar in Baltimore, Maryland",Muggsy Bogues,Point Guard,Right,136lb,1151775.0
bogutan01,"November 28, 1984","Melbourne, Australia",2.2,53.5,12.0,55.7,706.0,16.4,9.6,8.7,50.6,53.5,University of Utah,1st overall,1st round,Milwaukee Bucks,2005.0,7-0,"Australian Institute of Sport in Melbourne, Australia",Andrew Bogut,Power Forward and Center,Right,260lb,8402832.64
bonnean01,"June 8, 1968","St. Louis, Missouri",1.4,46.8,12.5,59.0,318.0,11.5,6.9,5.4,10.8,46.9,Saint Louis University,23rd overall,1st round,Sacramento Kings,1990.0,6-8,"Vashon in St. Louis, Missouri",Anthony Bonner,Small Forward and Power Forward,Right,215lb,706500.0
bonnema01,"April 5, 1980","Concord, New Hampshire",0.7,46.4,41.4,78.0,792.0,13.6,5.8,3.0,38.5,57.0,University of Florida,45th overall,2nd round,Chicago Bulls,2003.0,6-10,"Concord in Concord, New Hampshire",Matt Bonner,Power Forward and Center,Right,235lb,2510694.5
bookede01,"October 30, 1996","Grand Rapids, Michigan",4.2,43.7,35.4,85.4,272.0,16.1,21.4,3.5,9.8,49.4,University of Kentucky,13th overall,1st round,Phoenix Suns,2015.0,6-6,"Moss Point in Moss Point, Mississippi",Devin Booker,Shooting Guard,Right,210lb,2223600.0
booketr01,"November 25, 1987","Newberry, South Carolina",1.1,51.5,30.5,63.6,532.0,15.0,6.9,5.5,26.2,52.8,Clemson University,23rd overall,1st round,Minnesota Timberwolves,2010.0,6-8,"Union County in Union, South Carolina",Trevor Booker,Power Forward,Left,228lb,3813121.78
boonejo01,"November 21, 1984","Mount Airy, Maryland",0.5,54.4,-,44.5,256.0,14.2,5.2,4.9,9.1,54.4,University of Connecticut,23rd overall,1st round,New Jersey Nets,2006.0,6-10,"West Nottingham Academy in Colora, Maryland",Josh Boone,Center and Power Forward,Right,237lb,1364022.0
boothca01,"May 7, 1976","Reynoldsburg, Ohio",0.4,45.1,22.2,74.8,366.0,12.4,3.3,2.8,8.0,45.2,Pennsylvania State University,35th overall,2nd round,Washington Wizards,1999.0,6-11,"Groveport Madison in Reynoldsburg, Ohio",Calvin Booth,Center,Left,230lb,3242633.92
boozeca01,"November 20, 1981","Aschaffenburg, Germany",2.2,52.1,7.1,72.2,861.0,19.5,16.2,9.5,80.3,52.1,Duke University,35th overall,2nd round,Cleveland Cavaliers,2002.0,6-9,"Juneau-Douglas in Juneau, Alaska",Carlos Boozer,Center and Power Forward,Right,258lb,10436409.71
boshch01,"March 24, 1984","Dallas, Texas",2.0,49.4,33.5,79.9,893.0,20.6,19.2,8.5,106.0,50.6,Georgia Institute of Technology,4th overall,1st round,Toronto Raptors,2003.0,6-11,"Lincoln in Dallas, Texas",Chris Bosh,Power Forward and Center,Left,235lb,14351488.87
bowenry01,"November 20, 1975","Fort Madison, Iowa",0.5,45.6,20.6,69.3,507.0,10.5,2.6,2.1,12.4,46.2,University of Iowa,55th overall,2nd round,Denver Nuggets,1998.0,6-7,"Fort Madison in Fort Madison, Iowa",Ryan Bowen,Small Forward and Power Forward and Shooting Guard,Right,215lb,808700.64
bowiean01,"November 9, 1963","Tulsa, Oklahoma",1.8,47.5,31.8,82.4,461.0,11.7,6.4,2.2,12.3,48.7,University of Oklahoma,66th overall,3rd round,Houston Rockets,1986.0,6-6,"East Central in Tulsa, Oklahoma",Anthony Bowie,Shooting Guard,Right,190lb,767500.0
